11:43:04.958 -> Light: 790 | Returning Servo to Position: 0
11:43:05.106 -> Light: 785 | Moving Servo to Position: 1
11:43:05.281 -> Light: 786 | Moving Servo to Position: 2
11:43:05.429 -> Light: 786 | Moving Servo to Position: 3
11:43:05.577 -> Light: 785 | Moving Servo to Position: 4
11:43:05.716 -> Light: 782 | Moving Servo to Position: 5
11:43:05.863 -> Light: 789 | Moving Servo to Position: 6
11:43:06.007 -> Light: 792 | Moving Servo to Position: 7
11:43:06.187 -> Light: 795 | Moving Servo to Position: 8
11:43:06.326 -> Light: 796 | Moving Servo to Position: 9
11:43:06.491 -> Light: 797 | Moving Servo to Position: 10
11:43:06.622 -> Light: 799 | Moving Servo to Position: 11
11:43:06.765 -> Light: 801 | Moving Servo to Position: 12
11:43:06.940 -> Light: 803 | Moving Servo to Position: 13
11:43:07.080 -> Light: 804 | Moving Servo to Position: 14
11:43:07.220 -> Light: 809 | Moving Servo to Position: 15
11:43:07.391 -> Light: 829 | Moving Servo to Position: 16
11:43:07.535 -> Light: 857 | Moving Servo to Position: 17
11:43:07.674 -> Light: 847 | Moving Servo to Position: 18
11:43:07.818 -> Light: 846 | Moving Servo to Position: 19
11:43:07.998 -> Light: 853 | Moving Servo to Position: 20
11:43:08.124 -> Light: 855 | Moving Servo to Position: 21
11:43:08.301 -> Light: 862 | Moving Servo to Position: 22
11:43:08.444 -> Light: 856 | Moving Servo to Position: 23
11:43:08.579 -> Light: 845 | Moving Servo to Position: 24
11:43:08.756 -> Light: 846 | Moving Servo to Position: 25
11:43:08.903 -> Light: 848 | Moving Servo to Position: 26
11:43:09.054 -> Light: 852 | Moving Servo to Position: 27
11:43:09.194 -> Light: 856 | Moving Servo to Position: 28
11:43:09.333 -> Light: 859 | Moving Servo to Position: 29
11:43:09.504 -> Light: 861 | Moving Servo to Position: 30
11:43:09.660 -> Light: 863 | Moving Servo to Position: 31
11:43:09.804 -> Light: 865 | Moving Servo to Position: 32
11:43:09.956 -> Light: 865 | Moving Servo to Position: 33
11:43:10.107 -> Light: 863 | Moving Servo to Position: 34
11:43:10.255 -> Light: 862 | Moving Servo to Position: 35
11:43:10.411 -> Light: 860 | Moving Servo to Position: 36
11:43:10.566 -> Light: 857 | Moving Servo to Position: 37
11:43:10.709 -> Light: 854 | Moving Servo to Position: 38
11:43:10.849 -> Light: 854 | Moving Servo to Position: 39
11:43:10.992 -> Light: 857 | Moving Servo to Position: 40
11:43:11.143 -> Light: 861 | Moving Servo to Position: 41
11:43:11.291 -> Light: 868 | Moving Servo to Position: 42
11:43:11.471 -> Light: 874 | Moving Servo to Position: 43
11:43:11.615 -> Light: 879 | Moving Servo to Position: 44
11:43:11.766 -> Light: 883 | Moving Servo to Position: 45
11:43:11.918 -> Light: 840 | Moving Servo to Position: 46
11:43:12.062 -> Light: 882 | Moving Servo to Position: 47
11:43:12.206 -> Light: 879 | Moving Servo to Position: 48
11:43:12.352 -> Light: 876 | Moving Servo to Position: 49
11:43:12.524 -> Light: 875 | Moving Servo to Position: 50
11:43:12.663 -> Light: 873 | Moving Servo to Position: 51
11:43:12.807 -> Light: 872 | Moving Servo to Position: 52
11:43:12.979 -> Light: 870 | Moving Servo to Position: 53
11:43:13.126 -> Light: 870 | Moving Servo to Position: 54
11:43:13.274 -> Light: 871 | Moving Servo to Position: 55
11:43:13.421 -> Light: 873 | Moving Servo to Position: 56
11:43:13.573 -> Light: 875 | Moving Servo to Position: 57
11:43:13.705 -> Light: 877 | Moving Servo to Position: 58
11:43:13.880 -> Light: 879 | Moving Servo to Position: 59
11:43:14.020 -> Light: 878 | Moving Servo to Position: 60
11:43:14.172 -> Light: 876 | Moving Servo to Position: 61
11:43:14.322 -> Light: 876 | Moving Servo to Position: 62
